i,timestamp,prev_timestamp,delta,difficulty,boundary
1,1516532249,1515270948,1261301,5000,23158417847463239084714197001737581570653996933128112807891516801582625927
2,1516532249,1516532249,0,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
3,1516532249,1516532249,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
4,1516532249,1516532249,0,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
5,1516532249,1516532249,0,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
6,1516532249,1516532249,0,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
7,1516532250,1516532249,1,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
8,1516532250,1516532250,0,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
9,1516532250,1516532250,0,36,3216446923258783206210305139130219662590832907378904556651599555775364712220
10,1516532250,1516532250,0,59,1962577783683325346162220084893015387343559062129501085414535322168019146439
11,1516532252,1516532250,2,97,1193732878735218509521350360914308328384226646037531588035645195957867315875
12,1516532254,1516532252,2,158,732861324286811363440322689928404480083987244719244076199098632961475504050
13,1516532255,1516532254,1,258,448806547431458121796786763599565534314999940564498310230455751968655541240
14,1516532263,1516532255,8,425,272451974676038106878990552961618606713576434507389562445782550606854422682
15,1516532270,1516532263,7,668,173341450954066160813729019474083694391122731535390065927331712586696301856
16,1516532271,1516532270,1,1057,109547861151670951204892133404624321526272454745166096536856749297931059262
17,1516532278,1516532271,7,1742,66470774533476576018123412748959763406010324147899290493374043632556331595
18,1516532290,1516532278,12,2757,41999306941355167001657956114866850871697491717678840783263541533519452172
19,1516532312,1516532290,22,4212,27490999344092164155643633667779655235819084678452175697876919280131322326
20,1516532329,1516532312,17,5972,19389164306315504926920794542647003994184525228673905565883721367701461761
21,1516532332,1516532329,3,8795,13165672454498714658734620239759853081667991434410524620745603639330657150
22,1516532338,1516532332,6,14309,8092255869544775695266684255272060091779298669763125588053503669572515873
23,1516532348,1516532338,10,22807,5077041664283605709807119963550134075208049487685384488948900951809230922
24,1516532449,1516532348,101,35350,3275589511663824481572022206752133178310324884459421896448587949304473257
25,1516532458,1516532449,9,19408,5966204103324206276977070538370151888565023941964167561802225062237898270
26,1516532506,1516532458,48,30295,3822151815062425991865686912318465352476315717631310910693434032279687395
27,1516532602,1516532506,96,34293,3376551752174385309642521360297667391399702116048189544206035750967052449
28,1516532633,1516532602,31,20714,5590040032698474240782610070903152836403880692557717680769411219847114494
29,1516533016,1516532633,383,27321,4238208309992906387891035650550415718797627636822977344879674389953264142
30,1516533016,1516533016,0,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
31,1516533016,1516533016,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
32,1516533016,1516533016,0,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
33,1516533017,1516533016,1,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
34,1516533017,1516533017,0,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
35,1516533017,1516533017,0,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
36,1516533017,1516533017,0,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
37,1516533021,1516533017,4,36,3216446923258783206210305139130219662590832907378904556651599555775364712220
38,1516533021,1516533021,0,58,1996415331677865438337430776011860480228792839062768345507889379446778097240
39,1516533023,1516533021,2,95,1218864097234907320248115631670399030034420891217269095152185094820138206736
40,1516533026,1516533023,3,155,747045737014943196281103129088309082924322481713810090577145703276858900902
41,1516533030,1516533026,4,251,461323064690502770611836593660111186666414281536416589798635792860211671872
42,1516533031,1516533030,1,405,285906393178558507218693790144908414452518480655902627257919960513365752197
43,1516533034,1516533031,3,666,173861995851826119254611088601633495275180157155616462521708084095965660120
44,1516533035,1516533034,1,1082,107016718333933637175204237531134850141654329635527323511513478750381820369
45,1516533037,1516533035,2,1783,64942282241904764679512610773240554039971948774896558631215694900680386786
46,1516533076,1516533037,39,2920,39654825081272669665606501715304078031941775570424850698444378084901756726
47,1516533107,1516533076,31,3594,32218166176214856823475510575594854717103501576416406243588643296581282593
48,1516533138,1516533107,31,4740,24428710809560378781344089664280149336132908157308135873303287765382516801
49,1516533258,1516533138,120,6251,18523770474694640125351301393167158511161411720627189895929864662920033537
50,1516533261,1516533258,3,2126,54464764457815708101397452967397887042930378488071761072181365949159515352
51,1516533310,1516533261,49,3458,33485277396563387918904275595340632693253321187287612504180909198355445240
52,1516533369,1516533310,59,3876,29874120030267336280591069403686250736137766941599732724318262127944563890
53,1516533410,1516533369,41,3917,29561421811926524233742911669310162842295119904427001286560526935898169425
54,1516533490,1516533410,80,4735,24454506702706693859254695883566612007026395916713952278660524605683871096
55,1516533496,1516533490,6,3694,31345990589419652253267727398128832661957223786042383334991224690826510460
56,1516533548,1516533496,52,5887,19669116568254831904802273655289265815061998414411510793181176152185005884
57,1516533579,1516533548,31,6404,18081213185089974300994844629713914405569953882829569650133913805108233860
58,1516533625,1516533579,46,8446,13709695623646246202175110704320140640927064251200635098207149420780621553
59,1516533655,1516533625,30,9746,11880985967301066634883130002943557136596550858366567211107899036313680447
60,1516533681,1516533655,26,12961,8933885443817313125805955173882255061590153897511038040232820307685605249
61,1516533741,1516533681,60,17807,6502616343983612928824113270550227879669230340070790365556106250795368655
62,1516533789,1516533741,48,17807,6502616343983612928824113270550227879669230340070790365556106250795368655
63,1516533849,1516533789,60,20156,5744795060394730870389511064134149030227722993929379045418614011109006233
64,1516533909,1516533849,60,20156,5744795060394730870389511064134149030227722993929379045418614011109006233
65,1516533925,1516533909,16,20156,5744795060394730870389511064134149030227722993929379045418614011109006233
66,1516534070,1516533925,145,29910,3871350358987502354515913908682310526689066688921449817434222133330428941
67,1516534080,1516534070,10,1945,59533207834095730294895107973618461621218501113439878683525750132603151485
68,1516534081,1516534080,1,3014,38418078711783741016446909425576611762863299490922549449056929000634747723
69,1516534115,1516534081,34,4969,23302895801432118217663712016238258775059364996103957343420725298432909969
70,1516534220,1516534115,105,6389,18123663990814868590322583347736407552554387958309682898647297543889987422
71,1516534226,1516534220,6,3227,35882271223215430871884408121688226790601172812407983898189520919712776461
72,1516534276,1516534226,50,5143,22514503059948706090525176941218726006857862077705728959645651177894833684
73,1516534334,1516534276,58,5708,20285930139683986584367726876084076358316395351373609677550382622269293910
74,1516534396,1516534334,62,5833,19851206795356796746711980971830603095023141550769854969905294703911045712
75,1516534410,1516534396,14,5706,20293040525292007610159653874638609858617242317847978275404413601106401969
76,1516534514,1516534410,104,8592,13476732918682052539987312035461814228732540114716080544629607077271081196
77,1516534544,1516534514,30,4434,26114589363400134285875278531503813228071715080207614803666572847973191168
78,1516534590,1516534544,46,5897,19635762122658333970420719859027964702945562941434723425378596575871312470
79,1516534668,1516534590,78,6804,17018237689199911143969868461006453241221338134279918289161902411509866202
80,1516534720,1516534668,52,5458,21215113454986477725095453464398663952596186270729308178720700624388627636
81,1516534748,1516534720,28,5937,19503467953059827425226711303467729131424959519225292915522584471604030594
82,1516534900,1516534748,152,8025,14428920777235662981130340811051452691996259771419384927035212960487617400
83,1516534900,1516534900,0,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
84,1516534900,1516534900,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
85,1516534900,1516534900,0,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
86,1516534900,1516534900,0,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
87,1516534901,1516534900,1,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
88,1516534901,1516534901,0,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
89,1516534901,1516534901,0,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
90,1516534901,1516534901,0,36,3216446923258783206210305139130219662590832907378904556651599555775364712220
91,1516534902,1516534901,1,59,1962577783683325346162220084893015387343559062129501085414535322168019146439
92,1516534902,1516534902,0,96,1206167596222043702328864427173832373471562340267089208744349833415761767082
93,1516534902,1516534902,0,158,732861324286811363440322689928404480083987244719244076199098632961475504050
94,1516534904,1516534902,2,261,443647851483970097408317950224857884495287297569504076779530973210395132720
95,1516534906,1516534904,2,427,271175853014792026753093641706529058204379355188853779951891297442419507353
96,1516534921,1516534906,15,698,165891245325667901752967027233077231881475622730144074555096825226236575415
97,1516534946,1516534921,25,1043,111018302240955125046568537879854178191054635345772352866210531167701945963
98,1516534950,1516534946,4,1444,80188427449664955279481291557263094081211900737978229944222703606588039916
99,1516534963,1516534950,13,2332,49653554561456344521256854634943356712379924813739521457743389368744909794
100,1516534964,1516534963,1,3537,32737373264720439757865701161630734479296009235408697777624422959545696816
101,1516534972,1516534964,8,5831,19858015646941552979518261877668994658423938375174166359022051793502508941
102,1516534975,1516534972,3,9166,12632783028291097035083022584408456017157973452502789007141346716988122369
103,1516535355,1516534975,380,14912,7765027443489551731730886870217804979430658842921175163590234979071427685
104,1516535355,1516535355,0,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
105,1516535355,1516535355,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
106,1516535356,1516535355,1,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
107,1516535356,1516535356,0,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
108,1516535356,1516535356,0,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
109,1516535356,1516535356,0,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
110,1516535357,1516535356,1,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
111,1516535357,1516535357,0,35,3308345406780462726387742428819654510093428133304016115413073828797517989712
112,1516535358,1516535357,1,58,1996415331677865438337430776011860480228792839062768345507889379446778097240
113,1516535360,1516535358,2,95,1218864097234907320248115631670399030034420891217269095152185094820138206736
114,1516535362,1516535360,2,155,747045737014943196281103129088309082924322481713810090577145703276858900902
115,1516535363,1516535362,1,252,459492417608397600887186448447174237512976129625557793807371365110766387460
116,1516535366,1516535363,3,414,279691036805111583148722186011323448920941991945991700578399961371770844540
117,1516535380,1516535366,14,672,172309656603149100332694918167690339067366048609584172677764261916537395297
118,1516535380,1516535380,0,1011,114532234656099105265648847684162124483946572369575236438632625131466992720
119,1516535386,1516535380,6,1677,69047161143301249507197963630702389894615375471461278496993192610562390960
120,1516535402,1516535386,16,2672,43335362738516540203432254868520923597780682883847516481832928146674075464
121,1516535461,1516535402,59,3964,29210920594681179471132942736803205815658421964086923319742074674044684571
122,1516535472,1516535461,11,4006,28904665311362005847122063157435823228474783990424504253484169747357246540
123,1516535584,1516535472,112,6164,18785218889895554092078355776879933136481178563536756008997012330939832842
124,1516535591,1516535584,7,2639,43877260036876163479943533538722208356676765693687216384788777570258859280
125,1516535611,1516535591,20,4176,27727990717748131088019871889053617780955456098094004798720685825649695795
126,1516535613,1516535611,2,6013,19256958130270446602955427408729071653628801707241071684592979213023969672
127,1516535657,1516535613,44,9848,11757929451392789949590879874968309083394596330792096267207309505271438834
128,1516535663,1516535657,6,11580,9999316859871864889772969344446278743805698157654625564719998618990771126
129,1516535765,1516535663,102,18458,6273273877847881429384060299528004542922851049173288765817400802249058925
130,1516535780,1516535765,15,9931,11659660581745664628292315477664677057020439499107900920295799416767005300
131,1516535807,1516535780,27,14845,7800073374019278910311282250501037915343212170134089864564337083726044435
132,1516535877,1516535807,70,20232,5723215165940895384715845443292205805321766739108371097244839067215951445
133,1516536024,1516535877,147,18007,6430393138074981697316098462191809177168322578199620372047402899312108049
134,1516536025,1516536024,1,775,149409147402988639256220625817661816584864496342762018115429140655371780180
135,1516536048,1516536025,23,1277,90675089457569456087369604548698439979068116417886111229019251376596029475
136,1516536061,1516536048,13,1796,64472210043049106583280058468089035553045648477528153696802663701510651247
137,1516536080,1516536061,19,2724,42508109117957487306744120781456647523226866617342350968963870781172220866
138,1516536089,1516536080,9,3951,29307033469328320785515308784785600570303716695935349035549882057178721751
139,1516536133,1516536089,44,6167,18776080628719992771780604022813022191222634127718593163524823091926889839
140,1516536141,1516536133,8,7251,15969120016179312567035027583600594104712451339903539379321139705959609659
141,1516536168,1516536141,27,11398,10158983088025635674993067644208449539679767035062341115937671872952546906
142,1516536220,1516536168,52,15535,7453626600406578398684968458879170122514965218258163118085457612353597015
143,1516536223,1516536220,3,16901,6851197517147872636149990237778114185744629587932108398287532335832976133
144,1516536250,1516536223,27,27497,4211080817446128502148270175244132372741389412140981344854259883184097524
145,1516536406,1516536250,156,37478,3089601612607828470664682880855112542111905242159148408118298308552033983
146,1516536406,1516536406,0,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
147,1516536406,1516536406,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
148,1516536407,1516536406,1,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
149,1516536407,1516536407,0,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
150,1516536407,1516536407,0,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
151,1516536407,1516536407,0,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
152,1516536408,1516536407,1,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
153,1516536409,1516536408,1,35,3308345406780462726387742428819654510093428133304016115413073828797517989712
154,1516536409,1516536409,0,57,2031440162058178867080192719450665050057368152028781825253641824700230344560
155,1516536411,1516536409,2,94,1231830736567193568335861542645616040992233879421708128079336000084182230212
156,1516536414,1516536411,3,153,756811040766772519108307091560051685315490095853859895682729307241262285228
157,1516536417,1516536414,3,248,466903585634339497675689455680193176827701551071131306610716064548036813064
158,1516536423,1516536417,6,403,287325283467285844723501203495503493432431723736080804068132962798791884962
159,1516536425,1516536423,2,641,180642884925610289272341630278764286822574079041560942339247400948382417535
160,1516536441,1516536425,16,1049,110383307185239461795587211638406013206167764218913788407490547195341400991
161,1516536452,1516536441,11,1556,74416509792619662868618884967023077026523126391799848354407187665753939357
162,1516536491,1516536452,39,2394,48367622906147115882861731415492025001365908381637662506039091064291198680
163,1516536492,1516536491,1,2946,39304850386054377265299044470023050866690422493428568920386145284424008703
164,1516536511,1516536492,19,4857,23840248967946509249242533458655117943848051197372980036948236361522159695
165,1516536550,1516536511,39,7047,16431401906813707311419183341661403129455085095166817658501147155940560471
166,1516536572,1516536550,22,8673,13350869276757315280015102618319832566962986817207490376969628041959313921
167,1516536609,1516536572,37,12297,9416287650428250420718141417312182471600389092107063839916856469700994522
168,1516536830,1516536609,221,15407,7515550674194599560172063672920614516341272451849196082265047316668600612
169,1516536830,1516536830,0,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
170,1516536830,1516536830,0,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
171,1516536831,1516536830,1,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
